# DONNEES ENTIEREMENT SIMULEES - generees a des fins pedagogiques (Master 1 Sciences de la Mer, Sorbonne Universite). Aucune valeur ne provient d'une mesure reelle. Les toponymes cites ne servent qu'a fixer une emprise geographique et un systeme de coordonnees plausibles.
id;secteur;saison;espece_dominante;effort_km;etat_mer_beaufort;profondeur_m;distance_cote_km;sst_c;chlorophylle_mgm3;nb_groupes_observes;taille_groupe_moyenne;presence;lon;lat
CET_0044;Canyon;Ete;Cachalot;29.8;0;865;132.7;14.71;0.099;14;1.5;1;-2.89458;45.05459
CET_0045;Plateau;Ete;Dauphin commun;22.3;1;103;26.9;14.82;0.331;6;23.3;1;-2.02667;46.338
CET_0046;Plaine abyssale;Hiver;Aucune;28.4;2;4800;303.5;10.5;0.08;0;NA;0;-9.23357;48.65589
CET_0047;Talus;Automne;Globicephale;16.1;2;796;150.7;11.46;0.42;4;11.9;1;-3.67773;46.0403
CET_0048;Plateau;Automne;Rorqual commun;23.9;2;143;32.4;11.26;0.142;1;2.7;1;-3.76863;47.50316
CET_0049;Plateau;Printemps;Dauphin commun;6.5;5;75;1.2;12.59;0.419;1;37.2;1;-1.91461;43.3829
CET_0050;Plaine abyssale;Ete;Dauphin commun;34.4;2;4089;250.4;13.37;0.08;6;14.9;1;-8.28272;48.61338
CET_0051;Plaine abyssale;Hiver;Dauphin commun;33;2;4296;311.9;10.5;0.083;1;14.4;1;-9.31843;48.60301
CET_0052;Talus;Ete;Dauphin commun;20.3;3;1770;176.5;14.18;0.116;17;15.8;1;-6.83673;47.39677
CET_0053;Canyon;Printemps;Aucune;38;5;2030;170.6;10.98;0.124;0;NA;0;-6.06148;46.82287
CET_0054;Plateau;Automne;Aucune;11.9;2;75;0.1;13.18;0.901;0;NA;0;-2.13136;43.33029
CET_0055;Plaine abyssale;Automne;Aucune;13.5;2;3609;256.8;11.29;0.08;0;NA;0;-7.82113;47.12305
CET_0056;Canyon;Ete;Globicephale;37.1;5;387;100.8;14.9;0.283;2;11.9;1;-2.55395;44.40485
CET_0057;Canyon;Ete;Aucune;27.4;5;1357;165;14.9;0.098;0;NA;0;-4.06214;44.9784
CET_0058;Talus;Printemps;Aucune;33.7;3;325;83.9;11.65;0.08;0;NA;0;-3.30878;46.7943
CET_0059;Plateau;Ete;Globicephale;35.6;1;75;7.2;16.15;0.403;1;5.3;1;-1.62704;43.54181
CET_0060;Talus;Ete;Aucune;13.5;0;588;122.2;14.84;0.11;0;NA;0;-5.58313;47.12523
CET_0061;Canyon;Ete;Rorqual commun;25.2;3;1351;157.4;15.19;0.273;5;4.7;1;-5.82167;46.84439
CET_0062;Plateau;Printemps;Rorqual commun;27.1;3;70;19;11.84;0.596;1;1.5;1;-3.06406;43.58816
CET_0063;Canyon;Automne;Aucune;6.8;2;685;123.4;11.2;0.08;0;NA;0;-5.40046;46.99282
CET_0064;Canyon;Hiver;Globicephale;23.6;2;615;122;10.5;0.08;1;6.3;1;-6.1026;47.50188
CET_0065;Talus;Printemps;Globicephale;15.3;1;406;109;10.61;0.08;1;10.3;1;-3.22382;46.24576
CET_0066;Plateau;Hiver;Aucune;11.6;1;75;3.1;10.5;0.655;0;NA;0;-2.20586;43.35064
CET_0067;Plateau;Ete;Aucune;18.1;4;131;56.5;15.51;0.81;0;NA;0;-3.27383;43.98649
CET_0068;Canyon;Automne;Aucune;29.2;2;218;63.6;12.92;0.445;0;NA;0;-2.12525;44.14976
CET_0069;Canyon;Hiver;Cachalot;24.5;1;794;131.3;10.5;0.08;2;1.5;1;-4.61992;46.65962
CET_0070;Canyon;Ete;Globicephale;39.4;2;534;119.4;14.83;0.123;1;3.2;1;-6.19106;47.68864
CET_0071;Canyon;Printemps;Aucune;18.3;2;349;92.5;10.96;0.08;0;NA;0;-5.58647;47.47351
CET_0072;Canyon;Automne;Aucune;5.6;3;1223;167.1;10.6;0.357;0;NA;0;-5.55079;46.57752
CET_0073;Plaine abyssale;Hiver;Aucune;12.7;3;3968;289.4;10.5;0.096;0;NA;0;-9.36974;48.88174
CET_0074;Canyon;Ete;Aucune;16;2;236;74.3;15.47;0.29;0;NA;0;-2.10343;45.50553
CET_0075;Plaine abyssale;Ete;Globicephale;35.4;1;2951;260.1;13.09;0.089;2;6.6;1;-9.60195;49.13644
CET_0076;Plaine abyssale;Automne;Aucune;17.2;4;2782;212.9;10.67;0.297;0;NA;0;-8.27647;49.19109
CET_0077;Canyon;Hiver;Aucune;19.3;2;1738;179.6;10.5;0.192;0;NA;0;-6.94214;47.49709
CET_0078;Talus;Ete;Aucune;15;2;265;77.1;14.98;0.086;0;NA;0;-2.37727;45.93536
CET_0079;Plateau;Ete;Aucune;29.6;1;133;30.5;14.39;0.09;0;NA;0;-5.08121;47.9849
CET_0080;Canyon;Printemps;Globicephale;19.1;2;221;65.8;11.86;0.223;1;12.4;1;-5.20967;47.56698
CET_0081;Plateau;Hiver;Dauphin commun;39.8;4;72;23.1;10.5;0.253;1;16;1;-4.30394;47.60817
CET_0082;Plaine abyssale;Ete;Dauphin commun;18.9;2;2218;214.8;14.06;0.506;3;19.1;1;-8.41359;49.33594
CET_0083;Plateau;Hiver;Aucune;22.9;2;91;24.5;10.5;0.656;0;NA;0;-2.44652;43.60285
CET_0084;Plateau;Hiver;Aucune;32.5;3;173;42.1;10.5;0.178;0;NA;0;-4.36778;47.44292
CET_0085;Talus;Automne;Aucune;8;3;1065;153.3;11.53;0.133;0;NA;0;-3.25419;45.55618
CET_0086;Talus;Printemps;Dauphin commun;23.1;2;748;134.6;10.5;0.191;2;17.1;1;-9.37072;50.28577
CET_0087;Canyon;Automne;Aucune;16.3;2;253;82.7;12.22;0.877;0;NA;0;-2.29098;44.68171
CET_0088;Canyon;Hiver;Aucune;15.9;4;566;115.6;10.5;0.417;0;NA;0;-3.00644;44.48964
CET_0089;Canyon;Printemps;Aucune;37.5;0;552;119.8;11.26;0.114;0;NA;0;-5.90298;47.34572
CET_0090;Canyon;Hiver;Aucune;31;3;232;66.8;10.5;0.246;0;NA;0;-2.05709;45.02357
CET_0091;Canyon;Automne;Aucune;7.5;2;556;128.2;11.32;0.24;0;NA;0;-2.86486;44.72174
CET_0092;Canyon;Printemps;Globicephale;34.9;3;257;89.9;12.1;0.334;1;9;1;-2.37237;44.80225
CET_0093;Plaine abyssale;Printemps;Cachalot;13.4;1;2471;232.6;11.31;0.08;5;1.9;1;-7.48867;47.15358
CET_0094;Plateau;Ete;Globicephale;23.2;2;194;48.2;14.89;0.141;2;17.9;1;-1.9383;44.11245
CET_0095;Talus;Printemps;Aucune;18.9;3;219;61.7;10.98;0.109;0;NA;0;-2.43004;46.18275
CET_0096;Canyon;Ete;Rorqual commun;22.8;2;617;121;13.71;0.156;2;3.1;1;-5.66316;47.17701
CET_0097;Canyon;Ete;Globicephale;21.8;2;729;127.7;14.65;0.122;2;4.1;1;-2.9685;45.69257
CET_0098;Canyon;Printemps;Aucune;16;3;2008;195.7;11.16;0.256;0;NA;0;-5.58723;46.29246
CET_0099;Talus;Automne;Cachalot;27.7;0;428;99.1;12.03;0.194;2;1;1;-2.96896;46.14908
CET_0100;Plaine abyssale;Automne;Cachalot;31.2;3;2181;212.9;11.8;0.183;1;5.4;1;-7.33823;47.35974
CET_0101;Talus;Ete;Rorqual commun;24.3;1;582;115.1;13.12;0.08;5;2.8;1;-3.66521;46.64589
CET_0102;Plateau;Automne;Rorqual commun;34.7;3;157;57.3;12.68;0.514;1;1;1;-1.89799;45.30608
CET_0103;Plaine abyssale;Hiver;Aucune;18;1;2198;190.1;10.5;0.086;0;NA;0;-7.22115;47.88567
CET_0104;Canyon;Hiver;Cachalot;7.1;3;1733;155.5;10.5;0.189;2;1.6;1;-3.29504;45.57972
CET_0105;Canyon;Printemps;Rorqual commun;26.2;3;1071;156.5;11.28;0.101;3;1;1;-6.81879;48.1204
CET_0106;Talus;Hiver;Aucune;19.1;3;991;137.9;10.5;0.254;0;NA;0;-3.47709;46.04663
CET_0107;Plateau;Automne;Dauphin commun;23;3;196;61.6;12.29;0.375;1;10.3;1;-1.91828;45.48783
CET_0108;Canyon;Hiver;Globicephale;10.2;1;310;85.6;10.5;0.191;2;6.5;1;-2.61238;44.20105
CET_0109;Talus;Printemps;Rorqual commun;31.9;1;385;97.8;10.53;0.107;2;2.1;1;-2.81048;45.99367
CET_0110;Canyon;Automne;Aucune;23.5;3;220;70.6;10.94;0.102;0;NA;0;-5.33595;47.58282
CET_0111;Canyon;Ete;Globicephale;21.1;4;2260;199.5;15.01;0.143;1;14.8;1;-6.11481;45.42927
CET_0112;Canyon;Hiver;Dauphin commun;20.1;2;365;89.1;10.5;0.093;1;18.7;1;-5.79081;47.74521
CET_0113;Plateau;Automne;Dauphin commun;34.5;2;132;49.7;11.31;0.257;2;24.2;1;-2.03282;46.04513
CET_0114;Talus;Printemps;Dauphin commun;37;2;551;119.5;11.32;0.099;3;23.1;1;-2.8745;45.73288
CET_0115;Talus;Hiver;Dauphin commun;31.2;3;412;106.3;10.5;0.08;1;12;1;-3.41407;46.56006
CET_0116;Plateau;Printemps;Aucune;7.3;2;123;38.4;11.18;0.255;0;NA;0;-2.28727;46.4251
CET_0117;Plaine abyssale;Ete;Aucune;9.3;2;4634;226.4;14.74;0.206;0;NA;0;-8.23517;48.92085
CET_0118;Canyon;Printemps;Cachalot;32.7;4;2432;218.1;11.97;0.13;1;2.2;1;-5.0403;45.92545
CET_0119;Talus;Printemps;Aucune;19.5;3;1521;179.4;11.52;0.241;0;NA;0;-7.17669;48.79293
CET_0120;Plateau;Printemps;Globicephale;37.9;5;86;21.1;12.55;0.579;1;5.8;1;-2.29595;43.52196
CET_0121;Canyon;Ete;Aucune;15.5;3;1376;158.4;14.33;0.126;0;NA;0;-5.50812;46.65244
CET_0122;Canyon;Ete;Aucune;14.5;1;254;79.9;14.15;1.024;0;NA;0;-2.96502;44.16987
CET_0123;Canyon;Printemps;Rorqual commun;19.7;2;490;123.1;11.73;0.326;2;3.3;1;-3.09123;44.57388
CET_0124;Canyon;Printemps;Aucune;9.4;3;233;78.7;12.74;0.246;0;NA;0;-2.68654;44.14929
CET_0125;Plateau;Printemps;Aucune;37.8;4;167;59.7;12.1;0.426;0;NA;0;-2.97026;43.98718
CET_0126;Talus;Ete;Aucune;7.6;3;1843;178.8;13.73;0.639;0;NA;0;-7.92407;49.41574
CET_0127;Talus;Ete;Dauphin commun;33.4;3;285;76.6;15.39;0.313;1;12.2;1;-2.16667;45.18122
CET_0128;Plaine abyssale;Printemps;Aucune;12.9;6;2941;229.3;10.61;0.202;0;NA;0;-8.3995;49.03672
CET_0129;Canyon;Printemps;Aucune;18;2;678;134.6;11.76;0.08;0;NA;0;-5.59992;46.98265
CET_0130;Canyon;Ete;Aucune;31;3;454;111.8;15.72;0.433;0;NA;0;-2.6487;44.82524
CET_0131;Canyon;Automne;Aucune;11.9;2;424;103;12.95;0.592;0;NA;0;-2.71111;44.37333
CET_0132;Canyon;Automne;Aucune;32.7;2;774;133.9;11.73;0.168;0;NA;0;-6.11948;47.32502
CET_0133;Plateau;Printemps;Aucune;6.4;3;93;25.6;13.36;0.347;0;NA;0;-1.67921;44.00308
CET_0134;Canyon;Ete;Globicephale;19.8;3;260;78.5;15.23;0.428;4;2.3;1;-2.23489;44.62017
CET_0135;Talus;Printemps;Rorqual commun;14.6;2;1971;189;11.37;0.259;13;2.6;1;-7.31002;48.66182
CET_0136;Canyon;Hiver;Aucune;23.6;2;330;85.6;10.5;0.478;0;NA;0;-2.46187;44.17747
CET_0137;Canyon;Automne;Aucune;13.1;3;357;78.8;11.55;0.531;0;NA;0;-2.23005;44.8135
CET_0138;Canyon;Ete;Cachalot;26.4;0;490;106;15.1;0.286;1;4.8;1;-3.18821;44.4335
CET_0139;Plateau;Ete;Aucune;25.8;2;82;4;14.87;0.227;0;NA;0;-1.61958;43.5045
CET_0140;Plateau;Ete;Rorqual commun;19.4;1;182;52.9;15.44;0.198;2;1;1;-2.06179;43.88791
CET_0141;Talus;Printemps;Aucune;8.9;1;449;118.4;11.11;0.101;0;NA;0;-6.36472;48.39155
CET_0142;Plateau;Hiver;Aucune;14.9;4;84;10.3;10.5;0.157;0;NA;0;-2.65671;47.34421
CET_0143;Canyon;Printemps;Rorqual commun;12.2;1;226;66.9;11.18;0.273;3;3;1;-2.13605;44.33396
CET_0144;Plateau;Hiver;Dauphin commun;11.7;2;155;53.5;10.5;0.872;1;13.8;1;-3.55142;43.99938
CET_0145;Canyon;Ete;Aucune;16.3;1;1458;162.4;14.12;0.107;0;NA;0;-6.11401;46.94764
CET_0146;Talus;Automne;Dauphin commun;22.6;1;218;71.2;11.46;0.173;1;23.1;1;-2.99311;46.69153
CET_0147;Talus;Printemps;Dauphin commun;28;2;248;78.1;11.8;0.241;2;9.7;1;-2.21859;45.59089
CET_0148;Plaine abyssale;Automne;Cachalot;10.5;3;4276;268.2;10.5;0.145;2;2.8;1;-9.04728;49.08545
CET_0149;Talus;Ete;Dauphin commun;12.1;2;1320;159.5;13.3;0.611;2;26.4;1;-7.87336;49.91678
CET_0150;Plateau;Ete;Dauphin commun;28;1;187;47.2;14.89;0.121;1;7.4;1;-2.33388;46.3194
CET_0151;Canyon;Ete;Aucune;38.5;3;227;67.8;16.11;0.57;0;NA;0;-2.28245;43.97551
CET_0152;Talus;Automne;Rorqual commun;38.7;0;603;126.2;11.08;0.393;7;3.1;1;-6.43269;48.70814
CET_0153;Plaine abyssale;Ete;Aucune;13;4;2204;196.8;13.12;0.473;0;NA;0;-8.267;49.53695
CET_0154;Plateau;Hiver;Cachalot;38.9;2;94;27.2;10.5;0.158;4;3;1;-1.75787;43.80928
CET_0155;Canyon;Printemps;Dauphin commun;33.9;3;225;79.4;12.35;0.08;1;9;1;-5.53896;47.6198
CET_0156;Plaine abyssale;Hiver;Globicephale;30.7;1;3904;263.7;10.5;0.08;1;12.1;1;-8.33258;48.36039
CET_0157;Plateau;Automne;Dauphin commun;25.2;2;127;37.8;11.48;0.401;1;14.3;1;-1.70162;44.88378
CET_0158;Plaine abyssale;Printemps;Aucune;27.6;2;2890;206.1;10.5;0.08;0;NA;0;-7.38523;47.6695
CET_0159;Canyon;Automne;Aucune;9.8;1;207;71.8;12.38;0.768;0;NA;0;-2.30807;44.02168
CET_0160;Plateau;Ete;Aucune;30.6;3;175;67.3;14.51;0.118;0;NA;0;-2.74939;46.43412
CET_0161;Canyon;Printemps;Aucune;6.2;3;559;116.6;10.89;0.08;0;NA;0;-5.65577;47.22363
CET_0162;Talus;Hiver;Dauphin commun;13.5;4;529;101.2;10.5;0.211;2;4.7;1;-2.8064;45.93972
CET_0163;Plaine abyssale;Hiver;Rorqual commun;29.8;0;2260;186;10.5;0.209;2;3.2;1;-7.16117;47.85517
CET_0164;Plateau;Ete;Aucune;23.1;2;143;46.3;15.41;0.429;0;NA;0;-1.86748;44.37644
CET_0165;Canyon;Automne;Cachalot;26.1;3;490;115.9;11.72;0.08;2;1;1;-4.32161;46.76957
CET_0166;Canyon;Automne;Cachalot;32.8;2;693;127.9;11.17;0.116;20;4.8;1;-5.75646;47.14804
CET_0167;Talus;Automne;Aucune;10.4;4;1118;162.1;11.45;0.155;0;NA;0;-3.56265;45.73419
CET_0168;Talus;Ete;Cachalot;37.3;2;299;94.7;14.54;0.12;4;2.8;1;-2.82765;46.05955
CET_0169;Canyon;Hiver;Cachalot;35.5;2;790;128.6;10.5;0.205;2;2.1;1;-2.80831;45.35981
CET_0170;Plaine abyssale;Automne;Aucune;13.7;3;4448;264.3;11.2;0.08;0;NA;0;-8.34734;48.47002
CET_0171;Canyon;Ete;Cachalot;11.5;2;324;90;14.31;0.08;2;5.2;1;-5.36471;47.37447
CET_0172;Plateau;Printemps;Aucune;13.8;3;156;36.7;10.5;0.341;0;NA;0;-5.12078;48.73796
CET_0173;Talus;Ete;Rorqual commun;38.3;3;858;136.5;14.32;1.433;9;2.7;1;-7.405;49.59382
CET_0174;Plaine abyssale;Ete;Aucune;10.9;2;4525;286.7;14.33;0.08;0;NA;0;-8.75159;48.47428
CET_0175;Canyon;Automne;Aucune;6.6;1;859;137.2;10.9;0.42;0;NA;0;-2.97363;44.79294
CET_0176;Canyon;Hiver;Cachalot;31.2;3;879;148.6;10.5;0.133;7;1.6;1;-5.65008;46.84081
CET_0177;Canyon;Printemps;Aucune;32;3;398;102.5;10.52;0.08;0;NA;0;-5.95576;47.69986
CET_0178;Canyon;Printemps;Globicephale;18;3;497;120;11.59;0.131;4;9.8;1;-2.73572;45.02422
CET_0179;Plaine abyssale;Hiver;Globicephale;35.9;1;3739;345.4;10.5;0.08;2;3.4;1;-9.60773;48.34916
CET_0180;Plateau;Automne;Aucune;30;3;71;9.8;12.25;1.031;0;NA;0;-3.26543;43.51089
CET_0181;Plateau;Ete;Aucune;38.6;2;100;30.3;14.73;0.243;0;NA;0;-1.55428;45.27919
CET_0182;Talus;Automne;Globicephale;37.1;3;265;72.5;11.15;0.287;2;4.3;1;-2.29879;45.87538
CET_0183;Talus;Automne;Dauphin commun;13.3;3;1873;186.6;11.21;0.167;1;10.2;1;-7.06862;47.55118
CET_0184;Canyon;Ete;Aucune;6.4;2;768;132.4;15.71;0.106;0;NA;0;-6.32615;47.59955
CET_0185;Canyon;Ete;Cachalot;26.9;4;331;89.6;13.99;0.168;7;4.5;1;-5.87892;47.96963
CET_0186;Canyon;Hiver;Aucune;9.3;3;210;67.5;10.5;0.318;0;NA;0;-2.04015;45.25827
CET_0187;Canyon;Ete;Rorqual commun;11.1;2;281;92.4;13.09;0.144;1;1.8;1;-5.984;48.27017
CET_0188;Plateau;Automne;Aucune;11.5;3;82;9.4;13.22;1.211;0;NA;0;-1.83729;43.48659
CET_0189;Plateau;Printemps;Dauphin commun;11.3;3;162;53;12.46;0.191;1;15.7;1;-2.03028;43.99991
CET_0190;Canyon;Hiver;Cachalot;8.7;3;495;119.6;10.5;0.08;2;1.4;1;-5.97435;47.40929
CET_0191;Canyon;Printemps;Dauphin commun;35.3;3;301;85.7;11.91;0.14;2;16.5;1;-2.36828;44.37084
CET_0192;Talus;Printemps;Aucune;9.5;2;417;101.4;12.46;0.139;0;NA;0;-2.65039;45.77897
CET_0193;Talus;Printemps;Globicephale;7.4;4;312;75.6;11.15;0.096;1;11.4;1;-2.805;46.36147
CET_0194;Plaine abyssale;Ete;Globicephale;14.5;3;2411;227.3;14.59;0.227;1;7.1;1;-8.01104;48.72343
CET_0195;Talus;Ete;Cachalot;30.2;3;1467;163;13.73;0.098;2;1.9;1;-6.48577;47.22306
CET_0196;Talus;Hiver;Globicephale;20.4;3;235;69.2;10.5;0.222;1;6.5;1;-2.04951;45.32018
CET_0197;Canyon;Automne;Dauphin commun;8.5;2;253;80.8;11.34;0.575;1;20.8;1;-2.28639;44.48491
CET_0198;Canyon;Automne;Dauphin commun;36;2;683;115.9;11.13;0.159;2;12.5;1;-5.79384;47.31669
CET_0199;Plaine abyssale;Automne;Aucune;5.4;2;4423;249.9;11.4;0.08;0;NA;0;-7.87902;47.39492
CET_0200;Talus;Ete;Aucune;8.7;3;446;120;15.01;0.08;0;NA;0;-6.1248;47.56824
CET_0201;Canyon;Automne;Dauphin commun;33.1;0;219;73.4;11.96;0.255;1;9.6;1;-2.34249;45.97843
CET_0202;Plaine abyssale;Automne;Rorqual commun;10;4;2284;214.9;10.5;0.295;1;2.3;1;-8.20692;49.07816
CET_0203;Talus;Automne;Dauphin commun;31.2;2;302;84.5;11.42;0.115;7;9.2;1;-2.80307;46.21337
CET_0204;Plateau;Hiver;Aucune;18.8;2;141;42.1;10.5;0.143;0;NA;0;-1.86311;44.1018
CET_0205;Canyon;Hiver;Aucune;24.7;4;705;123.2;10.5;0.08;0;NA;0;-5.04367;46.8318
CET_0206;Plaine abyssale;Automne;Aucune;9.3;1;2100;175.3;11.72;0.088;0;NA;0;-6.94359;47.62338
CET_0207;Canyon;Ete;Aucune;19.2;3;782;142.3;15.04;0.08;0;NA;0;-4.49555;46.54268
CET_0208;Canyon;Ete;Cachalot;30;3;238;80.4;15.65;0.538;3;1.1;1;-2.25737;44.73662
CET_0209;Canyon;Hiver;Aucune;19.4;0;2381;221.8;10.5;0.394;0;NA;0;-5.69656;46.06576
CET_0210;Talus;Printemps;Rorqual commun;37.4;4;1976;198.9;10.8;0.08;3;1.4;1;-7.07809;47.27215
CET_0211;Talus;Ete;Dauphin commun;35.6;2;1812;164.7;14.13;0.086;1;20;1;-6.87867;47.88167
CET_0212;Plateau;Printemps;Aucune;19.5;4;176;61.1;10.5;0.109;0;NA;0;-5.15692;47.59377
CET_0213;Plateau;Ete;Rorqual commun;14.4;3;87;1.3;15.57;0.587;1;2.6;1;-2.32967;43.3396
CET_0214;Plateau;Printemps;Dauphin commun;36.6;3;196;70;10.5;0.08;1;23.5;1;-5.61748;48.16003
CET_0215;Canyon;Ete;Aucune;7.9;1;2238;189.7;15.29;0.429;0;NA;0;-5.95739;46.5348
CET_0216;Plateau;Printemps;Dauphin commun;37.8;0;165;68.4;11.59;0.08;1;18.7;1;-4.85124;47.32731
CET_0217;Plaine abyssale;Ete;Rorqual commun;37.9;6;3871;257;14.57;0.089;4;3.3;1;-7.3766;46.6259
CET_0218;Plaine abyssale;Printemps;Cachalot;33.2;4;2680;242.5;12.12;0.195;3;3.7;1;-5.72974;45.82436
CET_0219;Plateau;Hiver;Aucune;15.1;2;195;66.6;10.5;0.316;0;NA;0;-2.23033;43.94757
CET_0220;Canyon;Automne;Aucune;28.9;1;483;110;11.63;0.136;0;NA;0;-5.3172;47.10435
CET_0221;Canyon;Hiver;Aucune;28.3;4;2162;186.4;10.5;0.22;0;NA;0;-6.55744;46.94499
CET_0222;Plateau;Printemps;Dauphin commun;33.1;2;160;46.3;11.54;0.232;2;20.7;1;-2.65492;46.70791
CET_0223;Talus;Hiver;Globicephale;11.3;2;1875;197.8;10.5;0.212;1;4.1;1;-6.73871;46.93151
CET_0224;Plaine abyssale;Ete;Aucune;15.7;5;4800;300.1;14.04;0.08;0;NA;0;-8.71117;47.86195
CET_0225;Plateau;Ete;Dauphin commun;30.2;3;156;51.7;15.25;0.132;2;11.8;1;-2.03947;45.9261
